,Wine,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline
24,1,12.870571,1.2028338,2.0147264,14.561676,108.524765,2.8633044,2.689615,0.22772284,2.1875904,3.72703,1.2331281,3.6340182,814.25757
25,4,13.340964,4.439632,2.4238997,22.917187,116.88798,0.80599993,-0.78806645,0.52398574,0.6729457,12.198242,0.34555632,0.64603055,567.4458
26,2,11.926343,1.1873575,1.976791,18.409155,85.42791,2.3475153,1.9913471,0.2670776,1.5729177,1.5474042,1.1525788,2.810429,518.8206
27,2,12.3591175,2.8185883,2.4172704,22.096165,88.07615,1.9899148,1.7174499,0.42140403,1.3099761,3.5613272,0.90239257,2.4805622,538.2893
28,2,13.655005,3.1513114,2.7044566,18.375875,126.72636,2.529235,2.5574157,0.42600206,1.6402292,4.4877214,1.0689518,2.6414032,811.5988
29,2,13.528077,2.744055,2.7542632,21.633837,113.6016,2.3327477,1.8231512,0.41572875,1.5048044,5.681808,0.8855766,2.3907485,797.20953
30,1,13.890666,2.026552,2.4478152,19.859713,108.84307,2.8146863,3.6318343,0.28872693,2.4943123,4.857297,1.1733893,3.0570467,1069.1631
31,2,13.045148,1.9049659,2.7582357,20.318033,107.890305,2.3334913,2.3639858,0.42269215,1.5747498,4.109124,1.0348685,2.9988205,875.97516
32,2,11.881398,1.0323573,1.7207915,17.37181,90.44086,1.8215498,1.6463856,0.24804658,1.3549109,3.1020641,1.1137434,2.6088839,361.24423
33,2,12.549964,2.736748,2.8210447,24.041813,102.08944,1.8737833,1.4822919,0.46078658,1.3011096,5.5813804,0.84431124,2.3906739,697.0935
34,1,13.516074,0.60738826,2.3371246,14.446715,114.3532,3.529796,3.8117619,0.18550137,2.5941086,4.5360184,1.1849344,3.887513,1210.3167
35,2,13.677489,2.395067,2.6279323,19.521149,114.10447,2.7691345,2.504685,0.31765857,1.8410808,5.589756,0.98879516,2.9931493,923.5587
36,2,11.873993,2.0793054,2.136137,21.025225,80.99435,2.085758,1.9576408,0.38557744,1.1812947,3.1579192,1.0589051,2.8102932,396.68683
37,2,11.942704,1.7668402,2.2253015,22.296251,87.03739,2.241941,1.9692314,0.37996334,1.3730974,2.5812352,1.0333791,2.8443723,442.111
38,3,11.715709,4.557613,2.7589283,26.254467,74.69886,0.8587825,0.13037701,0.7702209,0.65713054,5.324199,0.6858153,1.7027264,705.1896
39,2,13.231758,2.1403642,2.5095222,20.50323,103.58415,2.465655,2.4874272,0.3522577,1.5047098,4.7143536,1.0544864,2.8669066,774.22675
40,1,13.294384,2.1927388,2.2623067,17.371016,99.16324,2.1451616,2.6321044,0.30284333,1.9498875,2.7539601,1.1453077,2.9159505,920.76843
41,2,12.697434,2.358617,2.492324,22.05346,90.11916,2.076076,1.7678525,0.49946168,1.3212229,2.9137712,1.0820504,2.515465,794.289
42,2,12.22059,0.9319079,2.1156745,16.445112,100.848045,2.6616733,2.888414,0.1635147,2.4554625,2.5254586,1.1416458,2.9246309,552.46387
43,2,12.588626,3.3460867,2.3716767,22.145449,81.30478,1.7771293,1.3542924,0.48057666,0.94191897,4.1371937,0.84392047,2.2060802,504.77347
44,1,14.509708,2.8229575,2.5747783,19.06153,102.76018,2.7969303,2.5689769,0.3298921,1.7434571,7.638837,0.9454126,2.3287659,948.8563
45,2,11.67338,1.7482722,2.2787435,22.274424,80.012474,2.078266,1.9544244,0.3979544,1.4772472,2.582057,1.1398162,2.8228397,340.84442
46,1,13.407962,1.864972,2.5375826,19.359352,99.47381,2.602045,3.1260912,0.30626327,1.855716,3.9068415,1.1048752,3.3054214,1085.1442
47,2,12.043097,1.9682463,2.2869637,21.209112,88.89761,2.1898046,1.8040292,0.3685488,1.2257385,4.0906363,0.94191515,2.4358084,606.4507
48,1,13.778971,1.7505617,2.3554676,13.614111,110.03572,3.0641482,3.5758471,0.19037873,2.233766,5.001281,1.0990686,3.62379,1149.2194
49,4,13.817005,4.9007053,2.7007775,23.7907,107.45193,1.074557,0.3317711,0.58645904,0.8671181,10.361156,0.4483475,1.0086312,513.9279
50,2,12.224411,1.3685519,2.1629398,17.85592,97.22778,2.5164964,2.2231603,0.29558477,1.6862092,2.7409608,1.1498356,2.785174,554.2457
51,2,11.829834,2.0084262,2.274409,20.29586,96.076706,2.455302,2.4019723,0.33873656,1.7817086,2.3122046,1.109577,3.4242358,353.44516
52,2,13.908786,2.076166,2.6772072,18.15534,130.38127,2.8369021,2.5149016,0.33431548,2.0644863,6.578673,1.0672584,1.9752647,1186.2413
53,1,12.716976,0.54864943,1.1275802,7.119809,136.61043,2.3643942,1.9170498,0.0842496,2.7365823,2.4188495,1.2942281,2.8186166,937.5348
54,2,12.314628,3.265892,2.5603685,22.992977,86.8089,1.7404125,1.1359376,0.52806574,1.0900843,2.9812605,0.9693198,2.228219,454.48093
55,3,12.972068,4.2113667,2.4774613,23.34813,102.33913,1.1105263,0.41104314,0.54282093,0.9675767,9.029787,0.58745694,1.4972273,553.86237
56,3,13.471261,3.3077865,2.6331408,24.29614,106.24431,1.7172835,1.2218809,0.44599405,1.3844278,8.801343,0.62631947,1.7483413,741.049
57,3,13.351157,4.9265323,2.4294522,24.595592,85.74398,1.0798471,-0.02699117,0.63809484,0.6110244,6.1686816,0.48192802,1.2474765,393.7958
58,2,13.435818,2.6509497,2.5938315,19.459938,98.3667,2.0879016,2.4261894,0.36083472,1.5257838,5.5291624,0.8786433,2.02113,745.167
59,1,15.685083,1.8153435,2.384984,11.697583,121.80719,4.0526814,4.1683073,0.23215094,2.847694,7.608004,1.0901724,3.9877064,1852.2922
60,3,11.869161,3.8442128,2.1764455,21.411203,73.74656,1.4296416,0.6820485,0.5271843,0.72024435,4.623162,0.8424553,1.6938484,404.85623
61,2,13.449189,2.2801673,2.2856343,18.208817,101.88316,1.8294761,1.6911982,0.3452924,1.4055166,5.7078314,0.90915865,2.0908785,675.0272
62,1,13.761639,1.3247821,2.4420316,15.862466,114.20666,3.3226244,3.4193072,0.27808,2.3525543,4.99606,1.2041855,3.663846,1220.9741
63,1,12.761303,1.5759323,2.4530857,18.80578,111.65291,2.6922462,3.048751,0.28912127,1.7923489,4.350037,1.1708784,3.3267925,845.62463
64,1,12.833901,1.9802749,2.4380593,19.708315,96.6748,2.6482525,2.7613525,0.2852532,2.0039253,3.1400769,1.1021135,3.5037751,723.26685
65,2,12.56566,1.7496814,2.45382,20.45557,96.36579,2.6167195,2.7598016,0.29636174,1.6892799,3.532289,1.134297,3.3414428,656.0571
66,2,12.894084,1.2754903,2.5378816,18.226978,106.948975,2.4817019,2.8011215,0.2529468,2.0083675,4.4094605,0.96028614,2.806379,874.4591
67,1,12.386097,1.2487248,2.6887224,21.220585,109.03867,2.5938733,2.40742,0.36709616,1.7385795,3.0370927,1.1745193,3.222936,788.349
68,2,12.253701,0.85299134,1.45802,13.030454,90.964714,2.5204546,2.4179752,0.15447176,2.0228925,2.0647576,1.2959043,3.2292888,572.82153
69,3,13.794394,3.7929206,2.5879734,23.798923,111.83181,1.9098568,1.1368003,0.52680707,1.3369309,9.825189,0.34370792,1.5605723,776.1756
70,1,13.61851,1.6383436,2.196293,13.409183,97.66725,2.8022237,2.995195,0.20707816,1.9773525,4.17213,1.078869,2.7482705,887.8483
71,2,12.755058,1.6400074,2.2997177,17.115044,99.60982,2.9638953,2.750074,0.27410814,1.9801333,3.9062967,1.0504113,3.292976,858.9128
72,2,12.875592,2.3167784,2.3110158,17.608004,131.65694,1.9082447,1.0967842,0.33499014,2.3393934,5.752257,1.0067157,2.4712007,737.1218
73,1,14.448539,1.9911691,2.4533162,16.47556,129.29825,3.212861,3.3559248,0.34627897,2.2483256,6.556547,0.89984614,3.4229262,1513.4657
74,3,12.418586,2.6605346,2.0155313,19.927628,87.82306,1.3975345,0.74992615,0.42491007,0.85580575,6.7930293,0.73950005,1.7339469,509.7159
75,3,12.986771,3.263303,2.4514544,23.87029,96.63408,1.4187453,1.2063106,0.5071508,0.88039505,5.877095,0.7487594,1.7828434,602.23846
76,1,13.089146,1.9253726,2.4660797,18.144304,102.84969,2.6141942,2.8106017,0.3204478,1.8434852,3.6267598,1.088489,3.3241618,897.1673
77,2,12.2927685,2.36583,2.4535863,20.33482,92.01109,1.9133838,1.8723938,0.4048422,1.5406468,3.4478958,1.0158913,2.8702471,524.272
78,3,12.898322,3.695746,2.5634668,24.179817,96.16929,1.3169541,0.28880152,0.47174302,0.657775,7.010877,0.6121098,1.6763681,543.42395
79,3,12.386634,4.3400335,2.325382,21.911968,103.0948,2.1389909,1.1752515,0.565261,0.81267387,7.0828447,0.78805226,1.5378405,594.30945
80,1,13.758387,1.4321697,2.241509,14.953211,110.51543,2.887696,3.3612616,0.193086,2.3461418,4.459077,1.2089343,3.7856948,1114.8252
81,2,11.829953,1.1871661,1.5304463,14.159654,93.485954,2.136003,1.9765161,0.21886143,1.514092,1.2381281,1.3034337,2.569583,384.95148
82,1,12.516821,1.0931143,2.1606936,16.303267,91.97619,2.90486,2.8041258,0.208038,2.0348775,2.2538688,1.2221814,3.3950698,735.3925
83,1,14.009827,2.5708244,2.6164382,17.989462,116.76074,2.9844782,3.189503,0.34749785,2.1720803,7.1820407,0.8389371,2.9183457,1228.6852
84,3,12.99311,3.6690679,2.330828,22.142372,101.434616,1.6302412,0.19317205,0.47650516,0.9051805,8.363615,0.64145905,1.5015795,409.40894
85,4,13.340906,6.1516337,2.533038,23.93957,74.76099,0.5776046,-0.31727555,0.72005963,0.21245936,7.58379,0.36112964,0.83132243,331.37204
86,1,12.988179,1.2832216,2.2606163,16.625929,97.15768,3.013231,2.891453,0.22497216,2.2205253,2.9449325,1.185178,3.6605377,895.15906
87,3,12.725679,3.9659605,2.3587325,21.834095,81.51263,1.3920454,0.46206197,0.50143707,0.7759688,7.226369,0.6651315,1.6435598,518.9077
88,2,12.753784,2.4488776,2.2657952,19.802567,84.985855,2.6888552,2.0136166,0.39563328,1.3644198,6.335096,0.85427266,2.435121,569.04285
89,2,12.623325,3.0435252,2.4444702,19.465597,89.68477,1.7703769,1.1057171,0.5339102,1.3691958,5.6855607,0.86674696,1.920298,723.0651
90,2,12.279415,2.1268137,2.437027,21.788769,92.98275,2.3260968,2.2142024,0.3878624,1.579045,3.1911798,1.077207,2.946759,665.9487
91,3,12.873414,4.1863046,2.553354,23.98671,90.26946,1.2786678,0.30444738,0.5202456,0.8175895,6.67933,0.59122,1.4847486,426.56494
92,2,14.249071,1.8403976,2.3025963,17.752506,123.31505,2.4639273,2.1543164,0.23276004,1.7805907,4.4357605,1.331179,2.6776655,1018.48553
93,2,13.912517,2.1170192,2.606028,18.429157,126.54477,2.307514,2.602575,0.26319587,1.730714,5.0077767,0.88405055,2.5836215,970.0621
94,1,12.7444515,2.3689003,2.1936443,15.961261,148.85515,2.1269388,1.7781563,0.16504115,2.394242,3.35293,1.2101405,2.4444678,915.69055
95,1,13.041972,2.146815,2.248638,17.35443,124.472084,2.8450053,2.6522639,0.2464614,2.4272242,4.290433,1.0626259,3.4967017,891.12396
96,2,13.628921,2.8751543,2.9176247,18.938366,105.413414,2.603928,3.0041873,0.41921738,1.8099513,5.173783,1.0932637,2.7875493,1065.3442
97,2,11.141998,1.7976061,1.885938,22.54515,65.7631,2.0574653,1.9533895,0.43190247,1.3539635,2.436211,1.0477487,3.1579032,157.99733
98,2,11.980962,1.2436792,1.836808,18.184607,91.25669,2.5428507,2.2947085,0.2312177,1.4494952,2.7456985,1.1612265,2.9805462,502.48743
99,2,11.964118,3.236262,2.3596141,20.767176,82.42585,2.0866494,1.2549613,0.5085367,1.0753317,3.365123,0.8477872,2.464812,459.0541
100,2,12.339948,2.5601015,2.2774246,20.30474,90.345795,2.0339293,1.8498871,0.38031045,1.599354,4.068848,0.93728244,2.6857677,679.1286
101,3,12.4785595,4.50532,2.4079926,21.36737,91.27864,1.8886713,0.50723857,0.56362665,0.9129881,5.5069456,0.84940726,1.8269237,666.12067
102,1,12.802641,1.7340366,2.4498856,18.262129,104.95789,3.02029,2.9415445,0.29581928,2.0187216,4.1670527,1.1078243,3.007372,818.0615
103,2,12.906439,1.7236719,2.2783513,19.183403,92.21835,2.493984,2.600577,0.3060993,1.7143227,4.058353,1.1702573,2.9358947,638.5314
104,2,12.35379,1.4227098,2.027704,19.4178,90.144775,2.2717898,2.07754,0.29995143,1.5219606,3.261824,1.0926955,2.9482892,471.29575
105,2,11.983296,2.0989037,1.8526856,20.569157,81.01535,2.343076,1.6431786,0.41014805,1.3171564,2.3818114,1.0641608,2.6187873,519.535
106,1,12.219759,1.8021027,2.3814454,20.321602,94.38216,2.5224469,3.1393752,0.31291047,1.5392702,3.1323147,1.1189252,3.20787,674.48444
107,3,13.015757,4.6292906,2.4160159,22.482252,86.03006,1.1789042,0.22045703,0.60777074,0.46558192,6.656873,0.54111516,1.1656255,390.0494
108,3,12.218705,2.5399427,2.353741,22.702526,89.086136,1.7263303,1.2923074,0.3869137,1.2074848,5.057689,0.860081,2.1494656,423.61676
109,2,12.4450655,1.4012142,2.3928633,19.142939,99.53447,2.9409235,2.3287945,0.3209324,1.5216801,3.7228081,1.0420119,2.9820607,612.69214
110,2,12.349753,2.2697277,2.414816,20.89891,106.77346,2.2622623,2.2375765,0.36036813,1.6776495,4.4685826,0.95053756,2.7281246,493.01404
111,2,11.402469,1.1358275,1.7459002,19.047552,74.27771,2.209632,2.0699034,0.30938813,1.4815364,0.8843559,1.1888056,3.017065,367.06314
112,1,12.9584055,1.593135,2.4999573,20.047981,110.62772,2.9888115,2.8227065,0.29407805,2.3552716,3.5238245,1.1809695,3.5794318,825.61554
113,2,12.5787945,2.812046,2.2849658,22.328398,92.648964,1.8013903,1.085027,0.44006228,1.111052,5.5207167,0.7876457,2.1082892,606.2958
114,2,12.156432,1.9946535,2.44298,23.676018,107.091255,2.3633451,1.8930758,0.35729823,1.593633,4.258493,0.9773117,2.4643924,677.6551
115,2,12.517595,1.9410067,2.2148077,20.94653,102.98165,2.2567167,1.4858869,0.39887598,1.4710243,4.5286655,0.96782845,2.4273574,605.4609
116,2,11.580827,1.4555267,2.0235202,19.827433,80.396996,1.9860276,1.9892052,0.32151324,1.431448,1.6192571,1.0915589,2.8390644,361.4861
117,2,12.5779085,2.5245721,2.5300462,21.191,98.51421,2.2221365,1.6910794,0.39283815,1.4349066,4.602289,1.0139971,2.7647488,664.83295
118,2,12.527724,2.2836084,2.4494414,21.961128,93.065796,1.9121591,1.8703947,0.3699243,1.4325067,4.4908924,1.002711,2.4539866,563.64514
119,2,12.147605,2.349198,2.7417927,22.83459,93.66111,2.068073,2.0291624,0.45492235,1.5956151,3.1077542,0.9968155,2.8232625,549.73395
120,2,14.419883,2.8434098,2.5941098,18.446383,119.152374,2.5745318,2.8201365,0.35334018,1.7717078,8.910173,0.8319042,2.654351,1145.0792
121,3,13.357409,4.772155,2.2320795,22.420033,95.0856,1.4239187,0.5169309,0.47506613,0.8730765,6.7838774,0.5404793,1.6266776,356.72296
122,1,13.45318,1.868916,1.8700134,12.323093,121.92113,3.098847,2.4079008,0.17560096,2.388465,5.6439357,1.152842,3.0142374,1153.3744
123,2,12.026741,1.9096829,2.4888866,21.070658,89.229416,2.429812,2.2613819,0.3448614,1.5327191,2.7367072,1.1183932,2.9442682,605.38214
124,3,12.461612,2.8853498,2.4110327,23.019932,95.82185,1.2827756,0.9025703,0.4506408,0.8682467,6.9788103,0.58466065,1.5544058,552.268
125,3,12.515995,4.59152,2.295193,24.809164,102.3597,1.4506185,0.24891455,0.5203066,0.35877553,7.9862905,0.48668012,1.4554017,421.3862
126,2,12.586655,3.0873098,2.2815247,20.429022,79.98709,1.8831036,1.6950017,0.45923096,1.0615793,3.5648265,0.8688888,2.2126675,335.05798
127,4,13.129447,4.590377,2.5732539,25.00986,97.232864,0.87868935,-0.03565864,0.55954784,0.60082,9.901801,0.4034508,0.9038154,459.02042
128,2,12.259479,1.9508132,2.181722,20.710564,84.67733,1.7847698,1.7614836,0.34313434,1.4437544,4.436332,0.97237045,2.567868,425.03708
129,1,13.458628,1.6347271,2.0943007,13.673555,107.90394,2.7420163,2.9684236,0.21587044,2.0023239,4.4087615,1.1323249,3.465259,1006.6825
130,2,13.217689,2.3331006,2.4972603,19.151157,101.872765,2.167708,1.6824147,0.38120627,1.5317863,6.2104564,0.8047806,2.2835264,785.24976
131,3,12.349582,2.7906017,2.3784857,23.059284,86.21376,1.0515921,0.6403318,0.4547366,0.8897207,4.8814225,0.7681444,1.6557693,482.15237
132,2,13.247604,2.1733372,2.3849583,19.055853,99.5814,2.2223775,2.4466214,0.3766901,1.7471006,5.122584,1.0215503,2.7397444,498.74295
133,2,13.33595,1.8338912,2.4396937,16.153522,100.74562,2.9191158,3.0677626,0.29876417,1.944167,4.2661414,1.0415653,3.108379,906.03625
134,2,13.770178,3.619893,2.8443956,23.187746,105.90275,2.1255555,2.1161053,0.5309231,1.2204158,7.459526,0.85923654,2.4187207,1082.5394
135,2,14.093827,2.556135,2.6183777,16.807158,116.68862,2.4686723,2.903507,0.3494715,1.8125515,7.3991637,0.8903487,2.648182,1077.6726
136,2,12.311805,2.0684662,2.108858,20.347044,96.38073,1.827491,1.5595247,0.29915488,1.1809055,5.476056,0.946313,2.3504548,453.47308
137,2,13.505082,3.7356038,2.571848,20.393858,104.71372,1.8124573,1.6095164,0.43713167,1.2595352,8.490811,0.73415893,2.2057374,722.42413
138,1,14.212406,1.7212958,2.3017087,12.806103,106.32164,3.090128,3.7476575,0.15569049,2.4994485,4.8019466,1.0764787,3.5446877,1250.8378
139,2,11.3762,1.3212359,1.8341773,18.155617,76.78408,2.2074637,1.8641379,0.29895827,1.4594477,1.1301414,1.1878022,2.9416752,384.19122
140,2,13.856932,2.9257686,2.5401685,21.026321,108.74307,2.6275399,2.1020017,0.4382716,1.8031918,6.7689133,0.9980119,3.0457075,963.2321
141,1,14.042945,0.371608,1.8869272,8.262414,137.52838,3.3159359,3.440696,0.076860085,3.2026057,4.738351,1.22021,3.3824737,1135.2462
142,3,13.049006,3.9648058,2.5380363,22.533535,106.053665,1.4347303,0.7821731,0.46076837,0.9420719,7.858599,0.6571038,1.5139769,649.5448
143,2,13.317768,1.8260133,2.3885765,16.289095,104.17809,2.6763265,2.489228,0.3093685,1.6840315,4.364939,1.0638685,3.4232917,1141.9805
144,2,12.681262,3.275562,2.4854004,22.795664,93.65799,1.8312871,1.1856725,0.4833629,0.9274271,4.5564857,0.85194254,2.1928558,432.8085
145,2,14.095111,1.6146555,2.7600367,17.16916,112.57161,2.5819218,2.7489197,0.345695,1.6155577,4.442211,0.97844744,2.756722,1323.418
146,1,12.132578,1.4326043,2.334373,21.57544,82.96267,2.4145582,2.589565,0.33032373,1.4218999,2.662025,1.0999104,2.9452736,516.93134
147,2,14.172276,3.4878635,2.5213714,22.009157,118.33115,2.6041555,0.99343807,0.41588417,1.295508,8.417812,0.4931084,1.9971457,805.61664
148,3,13.093268,3.7662647,2.3456595,20.040922,97.92196,1.4398195,0.31866488,0.5306834,0.94306296,8.606698,0.5197767,1.500667,509.54474
149,1,12.914613,2.1264858,2.431777,19.35614,93.931915,2.441871,2.4324694,0.32345793,1.740824,3.9640412,1.0531387,2.8471584,792.48065
150,2,11.988885,2.5131636,2.3280604,22.159302,77.52551,1.7675252,1.6585015,0.45881876,1.1530477,2.7483246,0.9002083,2.3458178,436.20026
151,1,13.603337,2.011309,2.612933,15.578959,110.565834,3.2416153,3.3430617,0.28590927,2.3844209,4.228653,1.045349,3.282116,1062.0663
152,2,12.96566,2.893085,2.3502169,20.212982,101.56497,2.142483,1.7021934,0.40293398,1.442151,4.3139124,0.93773425,2.2166417,598.7156
153,3,11.16993,1.8140272,1.8906362,22.468431,67.94279,1.9136784,1.8796328,0.4515639,1.3212126,2.6558263,1.0067747,3.129339,150.24867
154,1,13.469133,1.954742,2.7360768,17.324844,121.96203,2.9056985,2.8844292,0.3317048,1.9962561,5.209004,1.0210668,2.9141855,1223.1698
155,1,13.5054655,2.0570705,2.2601795,15.475931,110.015076,2.6652822,2.6258261,0.24248314,2.080961,5.1433463,1.0549569,2.7986312,1053.1466
156,3,12.936129,4.2777176,2.3792596,22.471325,98.15039,1.7780261,0.18788,0.60807884,1.0212705,5.874509,0.6113389,1.9225112,607.0937
157,2,11.656577,1.7642448,2.1826954,18.794804,100.74469,2.5655012,2.2961307,0.3127219,1.6310669,2.4699857,1.1726161,3.3625188,473.30225
158,2,12.537709,1.8313823,2.318521,20.091688,92.16862,2.463922,2.452593,0.3105234,1.8480973,3.219993,1.0392069,3.018244,557.9433
159,2,12.744527,2.2422392,2.5605597,19.798391,98.276764,2.3214543,2.1829462,0.3363758,1.6201392,4.1886706,1.0528486,3.0220723,775.01843
160,3,13.705156,4.950417,2.604431,23.14571,105.082985,1.0684403,0.07729908,0.60415924,0.5838686,10.217007,0.4465691,0.8778602,574.165
161,1,14.142209,0.28938338,2.1854842,12.111127,122.62094,3.4111722,3.3402307,0.1562142,2.704807,4.3866568,1.2499366,3.6410897,1196.6896
162,1,13.08741,1.9628818,2.5977845,20.360157,101.61391,2.6321852,2.2792573,0.43227908,1.7395457,3.8124163,1.1486038,3.0880256,886.46814
163,2,14.678874,2.6980987,2.6280403,18.19275,129.94131,2.6554985,2.6556473,0.3598823,1.7187947,8.146724,0.7469826,2.5989246,1192.6991
164,1,14.105083,1.2210672,2.6624827,15.240016,119.96309,3.3400004,3.7638032,0.24645515,2.4575055,4.855521,1.2287321,3.6190808,1348.9572
165,3,12.346697,3.397062,2.4097795,22.641268,86.61101,1.944266,1.1612978,0.46863058,0.8123567,5.785031,0.7630774,1.8305416,421.8183
166,1,13.143417,1.6178969,2.4333663,18.206764,99.21106,2.7869363,2.8460486,0.27104062,2.0179305,3.4739285,1.0617052,3.310595,862.2981
167,3,12.385114,2.7118354,2.1938307,21.598549,82.96457,1.561672,0.72463423,0.46601865,0.95288044,4.994349,0.7395294,1.9468358,376.31952
168,3,13.208802,3.5525286,2.4856997,21.052427,117.167145,1.085889,1.1122477,0.39984664,0.70270807,8.012196,0.73977107,1.4568244,661.3856
169,2,11.561677,1.2473122,1.8310164,20.375275,70.9762,2.1230907,2.1920185,0.33459258,1.4727671,1.5761529,1.1040492,2.9456291,307.08023
170,2,11.898789,2.3004274,2.0805912,21.13515,83.67024,1.8750496,1.6189203,0.37748417,1.4629507,3.0628538,1.0545294,2.6489062,365.1031
171,1,13.11848,2.0580158,2.0232549,14.334776,127.40251,3.1125708,2.931736,0.18604396,2.5964446,4.8063674,1.1044303,3.0138788,992.4537
172,1,14.354489,1.6820565,2.7058191,16.365278,116.98143,3.4169624,3.991825,0.22572677,2.4829302,5.7386265,1.040889,3.4629984,1368.7664
173,1,12.611148,1.2452669,2.1093433,18.858984,102.56362,2.5591428,2.451783,0.20177795,2.048554,2.9292855,1.293519,3.2090292,777.97675
174,1,13.69333,1.3388191,2.518263,15.937578,114.28869,2.8812642,3.4950347,0.14782797,2.3399885,3.7176337,1.1400393,2.8937469,854.4732
175,1,12.408264,1.2748023,2.4059515,21.470648,92.66074,2.5078616,2.5273798,0.32598117,1.5940534,3.3171568,1.1203799,3.154774,605.24945
176,3,13.129929,3.1445527,2.4743073,24.032707,106.00085,1.6439832,0.8004016,0.4817417,1.174808,7.025828,0.6882196,1.8974998,543.6816
177,2,12.835481,2.321121,2.499006,20.090328,100.717285,2.3870509,2.3611739,0.34018484,1.6458267,4.4493747,0.9719349,2.9164586,724.9546
178,3,13.827777,4.4011188,2.667957,24.485947,103.56305,1.3663127,0.75391906,0.52463084,0.9077251,9.562424,0.57473385,1.1155558,552.49396
179,1,13.422681,2.3881853,2.5092032,17.130108,100.35219,2.9346974,2.8826642,0.28146234,2.1074653,3.8544488,1.079695,3.2872884,1014.85626
180,3,12.580038,4.8962417,2.5615158,23.580837,79.78096,1.1515794,-0.15926556,0.57823116,0.6620813,7.823956,0.5338497,1.6204333,498.29465
